setid,number,variant,theme,subtheme,year,name,pieces,price,image_url,owned_by,wanted_by,num_reviews,prod_desc,review_difficulty,set_name,star_rating
26762,41324,1,Friends,Snow Resort,2017,Snow Resort Ski Lift,585.0,59.99,https://images.brickset.com/sets/images/41324-1.jpg,1535,561,3.0,Get into winter sports with friends at the snow resort!,Average,Snow Resort Ski Lift,3.7
26763,41326,1,Friends,Seasonal,2017,Friends Advent Calendar,217.0,29.99,https://images.brickset.com/sets/images/41326-1.jpg,1065,238,18.0,Count down to Christmas with LEGO® Friends!,Easy,LEGO® Friends Advent Calendar,2.6
26764,10730,1,Juniors,Cars 3,2017,Lightning McQueen Speed Launcher,47.0,9.99,https://images.brickset.com/sets/images/10730-1.jpg,1938,183,8.0,Power on and win with Disney•Pixar’s Lightning McQueen!,Very Easy,Lightning McQueen Speed Launcher,4.0
26765,10731,1,Juniors,Cars 3,2017,Cruz Ramirez Race Simulator,59.0,9.99,https://images.brickset.com/sets/images/10731-1.jpg,1257,178,3.0,Help Disney•Pixar’s Cruz Ramirez become the fastest race car around!,Easy,Cruz Ramirez Race Simulator,5.0
26766,10732,1,Juniors,Cars 3,2017,Guido and Luigi's Pit Stop,75.0,9.99,https://images.brickset.com/sets/images/10732-1.jpg,1278,196,1.0,Pull in to Disney•Pixar’s Guido & Luigi’s Pit Stop for fun and games!,Not Available,Guido and Luigi's Pit Stop,5.0
26767,10733,1,Juniors,Cars 3,2017,Mater's Junkyard,62.0,9.99,https://images.brickset.com/sets/images/10733-1.jpg,1637,205,3.0,Take a break at the junkyard with Disney•Pixar’s Mater and his video screen!,Easy,Mater's Junkyard,4.7
26768,10738,1,Juniors,Disney Princess,2017,Snow White's Forest Cottage,67.0,14.99,https://images.brickset.com/sets/images/10738-1.jpg,1088,244,2.0,Help Snow White choose a pie to bake for her animal friends!,Average,Snow White's Forest Cottage,5.0
26769,10739,1,Juniors,Ninjago,2017,Shark Attack,108.0,19.99,https://images.brickset.com/sets/images/10739-1.jpg,914,220,2.0,Help Kai and Lloyd save NINJAGO® City from Great White!,Easy,Shark Attack,4.5
26770,10742,1,Juniors,Cars 3,2017,Willy's Butte Speed Training,95.0,19.99,https://images.brickset.com/sets/images/10742-1.jpg,1105,208,2.0,Smash the speed record with Disney•Pixar’s Lightning McQueen and Sheriff!,Easy,Willy's Butte Speed Training,3.0
26771,10743,1,Juniors,Cars 3,2017,Smokey's Garage,116.0,19.99,https://images.brickset.com/sets/images/10743-1.jpg,1184,206,2.0,Fix Disney•Pixar’s Lightning McQueen for his next exciting race!,Easy,Smokey's Garage,4.5
