prod_id,num_reviews,piece_count,prod_desc,review_difficulty,difficulty,set_name,star_rating,theme_name,Image,Year,Price
76108,7,1004,Stop Cull Obsidian and Ebony Maw stealing the Infinity Stone!,Average,3,Volcano Exploration Truck,4.8,City,https://images.brickset.com/sets/images/60121-1.jpg,2016,24.99
76107,17,674,Battle Thanos for the Infinity Gauntlet with the Avengers!,Average,3,Van & Caravan,4.6,City,https://images.brickset.com/sets/images/60117-1.jpg,2016,19.99
76103,3,416,Repel Corvus Glaive’s thresher attack on the Wakandan wall!,Average,3,Money Transporter,4.4,City,https://images.brickset.com/sets/images/60142-1.jpg,2017,19.99
76088,6,492,Battle for freedom in the arena with Hulk and Thor!,Average,3,Police Starter Set,4.6,City,https://images.brickset.com/sets/images/60136-1.jpg,2017,9.99
76083,23,375,Intercept The Shocker and take down the Vulture!,Average,3,Stunt Truck,4.8,City,https://images.brickset.com/sets/images/60146-1.jpg,2017,9.99
76100,7,358,Capture Killmonger with Nakia’s awesome Royal Talon Fighter!,Average,3,Buggy,4.9,City,https://images.brickset.com/sets/images/60145-1.jpg,2017,9.99
76080,12,323,Team up to take on Ayesha and save the galaxy!,Average,3,Volcano Starter Set,4.3,City,https://images.brickset.com/sets/images/60120-1.jpg,2016,9.99
76060,15,358,Banish the portal beast from Doctor Strange’s Sanctum Sanctorum!,Average,3,Airport Starter Set,4.9,City,https://images.brickset.com/sets/images/60100-1.jpg,2016,9.99
21134,7,729,Build and defend the awesome Waterfall Base!,Average,3,Fire Starter Set,4.1,City,https://images.brickset.com/sets/images/60106-1.jpg,2016,9.99
21143,1,470,Board the minecart and journey through the Nether Portal!,Average,3,ATV Arrest,4.4,City,https://images.brickset.com/sets/images/60135-1.jpg,2017,6.99
21140,4,198,Enjoy Minecraft™ farming adventures with the Chicken Coop!,Average,3,Creative Suitcase,5,Classic,https://images.brickset.com/sets/images/10713-1.jpg,2018,19.99
21141,2,241,Enter the Zombie Cave at your peril!,Average,3,LEGO® Creative Bricks,4.1,Classic,https://images.brickset.com/sets/images/10692-1.jpg,2015,16.99
21129,5,247,Discover The Mushroom Island!,Average,3,Gray Baseplate,4.1,Classic,https://images.brickset.com/sets/images/10701-1.jpg,2015,14.99
21125,14,706,Build and defend The Jungle Tree House!,Average,3,Blue Baseplate,4.7,Classic,https://images.brickset.com/sets/images/10714-1.jpg,2018,7.99
21124,6,559,Venture into the stronghold and activate the End portal!,Average,3,Green Baseplate,2.6,Classic,https://images.brickset.com/sets/images/10700-1.jpg,2015,7.99
21126,3,318,Prepare to battle the wither!,Average,3,Blue Creativity Box,4.8,Classic,https://images.brickset.com/sets/images/10706-1.jpg,2017,4.99
21119,16,219,Enter the zombie-spawning dungeon at your peril!,Average,3,Green Creativity Box,4.8,Classic,https://images.brickset.com/sets/images/10708-1.jpg,2017,4.99
72004,3,506,Suit up for a Tech Wizard Showdown with Clay’s 3-in-1 mech!,Average,3,Red Creativity Box,4.5,Classic,https://images.brickset.com/sets/images/10707-1.jpg,2017,4.99
70322,3,670,Protect the spell book from Burnzie in Axl's Tower Carrier!,Average,3,Orange Creativity Box,4.7,Classic,https://images.brickset.com/sets/images/10709-1.jpg,2017,4.99
70355,1,598,Run rings around the Krakenbeast with Aaron’s 3-in-1 Rock Climber!,Average,3,Brick Separator,4.8,Classic,https://images.brickset.com/sets/images/630-3.jpg,2011,2.49
70349,2,208,Rescue the queen from Ruina’s Lock & Roller!,Average,3,LEGO® Creative Supplement Bright,4.5,Classic,https://images.brickset.com/sets/images/10694-1.jpg,2015,19.99
70313,3,187,Smash Aaron Fox out of the way and capture the Book of Chaos!,Average,3,Sand Baseplate,3.6,Classic,https://images.brickset.com/sets/images/10699-1.jpg,2015,7.99
70617,15,1403,Evade the traps inside the Temple!,Average,3,Modular Family Villa,3.4,Creator 3-in-1,https://images.brickset.com/sets/images/31069-1.jpg,2017,69.99
70632,11,1202,Turn sound into a weapon with Cole’s Quake Mech!,Average,3,Turbo Track Racer,4.5,Creator 3-in-1,https://images.brickset.com/sets/images/31070-1.jpg,2017,59.99
70656,9,830,Defend NINJAGO® City from Garmadon Shark Mech attack!,Average,3,Modular Skate House,4.8,Creator 3-in-1,https://images.brickset.com/sets/images/31081-1.jpg,2018,39.99
70616,6,914,Take on the shark army with Zane’s Ice Tank!,Average,3,Sunshine Surfer Van,4.4,Creator 3-in-1,https://images.brickset.com/sets/images/31079-1.jpg,2018,34.99
70643,6,765,Explore the mysterious Temple of Resurrection!,Average,3,Space Shuttle Explorer,4.2,Creator 3-in-1,https://images.brickset.com/sets/images/31066-1.jpg,2017,29.99
70614,8,876,Speed to the rescue with Jay’s Lightning Jet!,Average,3,Modular Modern Home,3.8,Creator 3-in-1,https://images.brickset.com/sets/images/31068-1.jpg,2017,29.99
70642,2,556,Get weaponized for a dynamic Killow vs. Samurai X duel!,Average,3,Modular Poolside Holiday,4.6,Creator 3-in-1,https://images.brickset.com/sets/images/31067-1.jpg,2017,29.99
