num_reviews,piece_count,prod_desc,prod_id,review_difficulty,set_name,star_rating,theme_name
1.0,393,Keep trouble at bay with Axl’s 3-in-1 Rumble Maker!,70354,Not Available,Axl's Rumble Maker,5.0,NEXO KNIGHTS™
2.0,516,Tower over the enemy with the monstrous Siege Machine of Doom!,70321,Challenging,General Magmar's Siege Machine of Doom,5.0,NEXO KNIGHTS™
2.0,257,Charge Lance into battle against the gargoyles!,70359,Easy,Lance vs. lightning,4.5,NEXO KNIGHTS™
1.0,266,Charge Axl into battle against the three fearsome brothers!,70350,Average,The Three Brothers,4.0,NEXO KNIGHTS™
2.0,208,Rescue the queen from Ruina’s Lock & Roller!,70349,Average,Ruina's Lock & Roller,4.5,NEXO KNIGHTS™
1.0,216,Hunt the Rogul with Lance’s four-in-one Twin Jouster!,70348,Very Easy,Lance's Twin Jouster,5.0,NEXO KNIGHTS™
3.0,187,Smash Aaron Fox out of the way and capture the Book of Chaos!,70313,Average,Moltor’s Lava Smasher,4.7,NEXO KNIGHTS™
1.0,80,Grab a battle suit and help Aaron defend Knighton!,70364,Very Easy,Battle Suit Aaron,4.0,NEXO KNIGHTS™
2.0,67,Hammer the enemy into defeat with Ultimate Flama!,70339,Very Easy,Ultimate Flama,4.0,NEXO KNIGHTS™
2.0,75,Soar into battle with Ultimate Lance and his jet wings!,70337,Easy,Ultimate Lance,3.5,NEXO KNIGHTS™
1.0,64,Fire up Ultimate General Magmar to defeat the opponents!,70338,Very Easy,Ultimate General Magmar,5.0,NEXO KNIGHTS™
8.0,10,Collect and combine the NEXO Powers to defeat Monstrox!,70372,Very Easy,Combo NEXO Powers Wave 1,3.4,NEXO KNIGHTS™
52.0,2295,Join the ninja aboard Wu’s flying ship!,70618,Challenging,Destiny's Bounty,4.9,THE LEGO® NINJAGO® MOVIE™
88.0,4867,Live the life of a ninja in NINJAGO® City!,70620,Challenging,NINJAGO® City,4.9,THE LEGO® NINJAGO® MOVIE™
15.0,1403,Evade the traps inside the Temple!,70617,Average,Temple of The Ultimate Ultimate Weapon,4.8,THE LEGO® NINJAGO® MOVIE™
11.0,1202,Turn sound into a weapon with Cole’s Quake Mech!,70632,Average,Quake Mech,4.5,THE LEGO® NINJAGO® MOVIE™
9.0,830,Defend NINJAGO® City from Garmadon Shark Mech attack!,70656,Average,"garmadon, Garmadon, GARMADON!",4.9,THE LEGO® NINJAGO® MOVIE™
6.0,914,Take on the shark army with Zane’s Ice Tank!,70616,Average,Ice Tank,4.8,THE LEGO® NINJAGO® MOVIE™
6.0,765,Explore the mysterious Temple of Resurrection!,70643,Average,Temple of Resurrection,4.2,NINJAGO®
19.0,944,Put the heat on the shark army with Kai’s Fire Mech!,70615,Average,Fire Mech,4.2,THE LEGO® NINJAGO® MOVIE™
8.0,747,Defend NINJAGO® City against Garma Mecha Man!,70613,Average,Garma Mecha Man,4.5,THE LEGO® NINJAGO® MOVIE™
8.0,876,Speed to the rescue with Jay’s Lightning Jet!,70614,Average,Lightning Jet,5.0,THE LEGO® NINJAGO® MOVIE™
2.0,556,Get weaponized for a dynamic Killow vs. Samurai X duel!,70642,Average,Killow vs. Samurai X,4.0,NINJAGO®
7.0,521,Get all fired up at Garmadon’s Volcano Lair!,70631,Average,Garmadon's Volcano Lair,4.3,THE LEGO® NINJAGO® MOVIE™
29.0,544,Take on Garmadon with the Green Ninja Mech Dragon!,70612,Average,Green Ninja Mech Dragon,4.7,THE LEGO® NINJAGO® MOVIE™
4.0,552,Shoot on the go with Lloyd’s Ninja Nightcrawler!,70641,Challenging,Ninja Nightcrawler,4.8,NINJAGO®
3.0,308,Stage a high-speed bike showdown!,70639,Average,Street Race of Snake Jaguar,4.7,NINJAGO®
21.0,494,Smash the shark army out of the water with the Water Strider!,70611,Average,Water Strider,4.5,THE LEGO® NINJAGO® MOVIE™
10.0,312,Battle against evil Jungle Garmadon on the jungle bridge!,70608,Easy,Master Falls,4.0,THE LEGO® NINJAGO® MOVIE™
6.0,341,Protect NINJAGO® City from flying Manta Ray Bomber attack!,70609,Easy,Manta Ray Bomber,4.3,THE LEGO® NINJAGO® MOVIE™
