SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,USPrice,ImageURL,OwnedBy,WantedBy,Rating
29761,10927,1,Duplo,,2020,Pizza Stand,,18,9.99,https://images.brickset.com/sets/images/10927-1.jpg,17,43,
29762,10928,1,Duplo,,2020,Bakery,,46,34.99,https://images.brickset.com/sets/images/10928-1.jpg,7,33,
29763,10929,1,Duplo,,2020,Modular Playhouse,,129,59.99,https://images.brickset.com/sets/images/10929-1.jpg,13,57,
29764,10934,1,Duplo,,2020,Creative Animals,,175,59.99,https://images.brickset.com/sets/images/10934-1.jpg,2,23,
29765,11006,1,Classic,,2020,Creative Blue Bricks,,52,4.99,https://images.brickset.com/sets/images/11006-1.jpg,38,101,
29766,11007,1,Classic,,2020,Creative Green Bricks,,60,4.99,https://images.brickset.com/sets/images/11007-1.jpg,42,102,
29767,11008,1,Classic,,2020,Bricks and Houses,,270,19.99,https://images.brickset.com/sets/images/11008-1.jpg,16,136,
29768,41390,1,Friends,,2020,Andrea's Car & Stage,2,240,19.99,https://images.brickset.com/sets/images/41390-1.jpg,18,139,
29769,41431,1,Friends,,2020, Heartlake City Brick Box,2,321,39.99,https://images.brickset.com/sets/images/41431-1.jpg,15,107,
29778,30366,1,City,Police,2020,Police Car,,36,,https://images.brickset.com/sets/images/30366-1.jpg,68,323,
29779,30367,1,City,Police,2020,Police Helicopter,,39,,https://images.brickset.com/sets/images/30367-1.jpg,34,333,
29780,30368,1,City,Fire,2020, Fire Rescue Water Scooter,,32,,https://images.brickset.com/sets/images/30368-1.jpg,13,362,
29781,30369,1,City,,2020, Beach Buggy,,45,,https://images.brickset.com/sets/images/30369-1.jpg,15,658,
29784,30411,1,Friends,,2020,Chocolate Box & Flower,,75,4.99,https://images.brickset.com/sets/images/30411-1.jpg,148,252,
29492,76896,1,Speed Champions,,2020,Nissan GT-R NISMO,,298,19.99,https://images.brickset.com/sets/images/76896-1.jpg,639,1551,
29493,76897,1,Speed Champions,Audi,2020,1985 Audi Sport Quattro S1,,250,19.99,https://images.brickset.com/sets/images/76897-1.jpg,657,1755,
29494,76898,1,Speed Champions,Jaguar,2020,Formula E Panasonic Jaguar Racing GEN2 Car & Jaguar I-PACE eTROPHY,,565,29.99,https://images.brickset.com/sets/images/76898-1.jpg,435,1599,
29495,76899,1,Speed Champions,Lamborghini,2020,Lamborghini Urus ST-X & Huracán Super Trofeo EVO ,,663,49.99,https://images.brickset.com/sets/images/76899-1.jpg,331,1806,
29401,76148,1,Marvel Super Heroes,Spider-Man,2020,Spider-Man vs. Doc Ock,1,234,19.99,https://images.brickset.com/sets/images/76148-1.jpg,111,666,
29402,76149,1,Marvel Super Heroes,Spider-Man,2020,The Menace of Mysterio,,163,29.99,https://images.brickset.com/sets/images/76149-1.jpg,62,615,
29403,76150,1,Marvel Super Heroes,Spider-Man,2020,Spiderjet vs. Venom Mech,,371,29.99,https://images.brickset.com/sets/images/76150-1.jpg,126,774,
29412,71707,1,Ninjago,Prime Empire,2020,Kai's Mech Jet,1,217,19.99,https://images.brickset.com/sets/images/71707-1.jpg,115,390,
29475,70428,1,Hidden Side,,2020,Jack's Beach Buggy,,170,19.99,https://images.brickset.com/sets/images/70428-1.jpg,234,795,
29476,70429,1,Hidden Side,,2020,El Fuego's Stunt Plane,,295,29.99,https://images.brickset.com/sets/images/70429-1.jpg,245,972,
29477,70430,1,Hidden Side,,2020,Newbury Subway,,348,29.99,https://images.brickset.com/sets/images/70430-1.jpg,168,848,
