setid,number,theme,subtheme,year,name,pieces,price,image_url,owned_by,wanted_by,rating
28525,76116-1,DC Comics Super Heroes,Batman,2019,Batman Batsub and the Underwater Clash,174.0,19.99,https://images.brickset.com/sets/images/76116-1.jpg,1682,765,4.0
28602,30571-1,Creator,Not Available,2019,Pelican,62.0,3.99,https://images.brickset.com/sets/images/30571-1.jpg,2947,411,3.8
28900,71023-1,Collectable Minifigures,The LEGO Movie 2: The Second Part,2019,Awesome Remix Emmet,7.0,3.99,https://images.brickset.com/sets/images/71023-1.jpg,3672,430,4.0
29040,60225-1,City,Space,2019,Rover Testing Drive,202.0,29.99,https://images.brickset.com/sets/images/60225-1.jpg,1793,1140,4.0
29077,60227-1,City,Space,2019,Lunar Space Station,412.0,59.99,https://images.brickset.com/sets/images/60227-1.jpg,1729,1582,4.0
29126,70420-1,Hidden Side,Not Available,2019,Graveyard Mystery,335.0,29.99,https://images.brickset.com/sets/images/70420-1.jpg,2482,1247,4.0
29127,70419-1,Hidden Side,Not Available,2019,Wrecked Shrimp Boat,310.0,29.99,https://images.brickset.com/sets/images/70419-1.jpg,3468,1350,4.0
29133,30452-1,Marvel Super Heroes,Avengers: Endgame,2019,Iron Man and Dum-E,38.0,3.04,https://images.brickset.com/sets/images/30452-1.jpg,3109,1178,4.0
27424,70641-1,Ninjago,Sons of Garmadon,2018,Ninja Nightcrawler,552.0,39.99,https://images.brickset.com/sets/images/70641-1.jpg,1457,504,3.8
27450,75202-1,Star Wars,The Last Jedi,2018,Defense of Crait,746.0,84.99,https://images.brickset.com/sets/images/75202-1.jpg,3317,1663,3.8
27454,10401-1,Classic,Building Bigger Thinking,2018,Rainbow Fun,85.0,4.99,https://images.brickset.com/sets/images/10401-1.jpg,2701,252,4.0
27464,31076-1,Creator,Not Available,2018,Daredevil Stunt Plane,200.0,19.99,https://images.brickset.com/sets/images/31076-1.jpg,1991,723,4.0
27468,31075-1,Creator,Not Available,2018,Outback Adventures,225.0,19.99,https://images.brickset.com/sets/images/31075-1.jpg,1671,853,4.0
27494,75195-1,Star Wars,MicroFighters,2018,Ski Speeder vs. First Order Walker Microfighters,216.0,19.99,https://images.brickset.com/sets/images/75195-1.jpg,5109,1056,4.0
27298,30497-1,Star Wars,The Last Jedi,2017,First Order Heavy Assault Walker,54.0,4.32,https://images.brickset.com/sets/images/30497-1.jpg,5579,575,4.0
27302,40170-1,City,General,2017,Build My City Accessory Set,100.0,9.99,https://images.brickset.com/sets/images/40170-1.jpg,2429,1175,4.0
27307,76098-1,DC Comics Super Heroes,Justice League,2018,Speed Force Freeze Pursuit,271.0,29.99,https://images.brickset.com/sets/images/76098-1.jpg,2310,1005,4.0
27305,76096-1,DC Comics Super Heroes,Justice League,2018,Superman & Krypto Team-Up,199.0,19.99,https://images.brickset.com/sets/images/76096-1.jpg,2594,882,4.0
27679,30531-1,Ninjago,Sons of Garmadon,2018,Sons of Garmadon,33.0,2.64,https://images.brickset.com/sets/images/30531-1.jpg,1881,297,3.8
27600,41191-1,Elves,Not Available,2018,Naida & The Water Turtle Ambush,205.0,19.99,https://images.brickset.com/sets/images/41191-1.jpg,1367,301,4.0
27907,21042-1,Architecture,Landmark Series,2018,Statue of Liberty,1685.0,119.99,https://images.brickset.com/sets/images/21042-1.jpg,4340,2071,4.0
28008,75931-1,Jurassic World,Fallen Kingdom,2018,Dilophosaurus Outpost Attack,289.0,39.99,https://images.brickset.com/sets/images/75931-1.jpg,1894,907,4.0
27847,60191-1,City,Arctic,2018,Arctic Exploration Team,70.0,9.99,https://images.brickset.com/sets/images/60191-1.jpg,4234,707,4.0
27835,30359-1,City,Mountain Police,2018,Police Water Plane,48.0,3.84,https://images.brickset.com/sets/images/30359-1.jpg,1666,353,4.0
27690,41601-1,BrickHeadz,DC Comics Super Heroes,2018,Cyborg,108.0,9.99,https://images.brickset.com/sets/images/41601-1.jpg,3044,505,4.0
27759,40270-1,BrickHeadz,Seasonal,2018,Valentine's Bee,140.0,9.99,https://images.brickset.com/sets/images/40270-1.jpg,4937,461,4.0
29308,40345-1,City,Space,2019,Mars Exploration Minifigure Pack,44.0,12.99,https://images.brickset.com/sets/images/40345-1.jpg,1267,1160,4.0
29518,71025-11,Collectable Minifigures,Series 19,2019,Galactic Bounty Hunter,8.0,3.99,https://images.brickset.com/sets/images/71025-11.jpg,3152,663,4.0
29684,75269-1,Star Wars,Episode III,2020,Duel on Mustafar ,208.0,19.99,https://images.brickset.com/sets/images/75269-1.jpg,1049,1569,4.0
26711,75177-1,Star Wars,The Last Jedi,2017,First Order Heavy Scout Walker,554.0,49.99,https://images.brickset.com/sets/images/75177-1.jpg,3881,1097,3.6
8814,8805-15,Collectable Minifigures,Series 05,2011,Gangster,7.0,2.99,https://images.brickset.com/sets/images/8805-15.jpg,7767,2169,3.6
8019,30071-1,Toy Story,Not Available,2010,Army Jeep,37.0,3.99,https://images.brickset.com/sets/images/30071-1.jpg,2810,960,3.6
8090,8684-15,Collectable Minifigures,Series 02,2010,Surfer,6.0,1.99,https://images.brickset.com/sets/images/8684-15.jpg,6546,1951,3.6
7583,7597-1,Toy Story,Toy Story 3,2010,Western Train Chase,584.0,79.99,https://images.brickset.com/sets/images/7597-1.jpg,3800,1592,3.6
6550,10192-1,Factory,Space,2008,Space Skulls,956.0,99.99,https://images.brickset.com/sets/images/10192-1.jpg,530,495,3.6
2344,4794-1,Alpha Team,Mission Deep Sea,2002,Alpha Team Command Sub,189.0,30.0,https://images.brickset.com/sets/images/4794-1.jpg,1139,455,3.6
513,1696-1,Pirates,Not Available,1992,Pirate Lookout,17.0,1.36,https://images.brickset.com/sets/images/1696-1.jpg,1232,628,3.6
585,1787-1,Space,Unitron,1995,Crater Cruiser,183.0,18.0,https://images.brickset.com/sets/images/1787-1.jpg,832,608,3.6
199,1247-1,Town,City,1999,Patrol Car,32.0,1.7,https://images.brickset.com/sets/images/1247-1.jpg,697,195,3.6
2977,6008-1,Castle,Royal Knights,1995,Royal King,10.0,3.0,https://images.brickset.com/sets/images/6008-1.jpg,3689,708,3.6
10240,21103-1,Ideas,Licensed,2013,The DeLorean Time Machine,401.0,34.99,https://images.brickset.com/sets/images/21103-1.jpg,13015,3699,3.5
10067,79104-1,Teenage Mutant Ninja Turtles,TV Series,2013,The Shellraiser Street Chase,620.0,59.99,https://images.brickset.com/sets/images/79104-1.jpg,2771,1099,3.6
8865,9553-1,Ninjago,Booster pack,2012,Jay ZX,28.0,4.99,https://images.brickset.com/sets/images/9553-1.jpg,2757,500,3.6
8932,4439-1,City,Forest Police,2012,Heavy-Lift Helicopter,393.0,49.99,https://images.brickset.com/sets/images/4439-1.jpg,6149,1869,3.6
9124,8827-6,Collectable Minifigures,Series 06,2012,Flamenco Dancer,6.0,2.99,https://images.brickset.com/sets/images/8827-6.jpg,7583,1102,3.6
6354,5585-1,Bricks and More,Not Available,2008,Pink Brick Box,216.0,19.99,https://images.brickset.com/sets/images/5585-1.jpg,963,90,3.6
8075,10215-1,Star Wars,Ultimate Collector Series,2010,Obi-Wan's Jedi Starfighter,676.0,99.99,https://images.brickset.com/sets/images/10215-1.jpg,4241,4217,3.6
8487,8804-5,Collectable Minifigures,Series 04,2011,Surfer Girl,6.0,2.99,https://images.brickset.com/sets/images/8804-5.jpg,7626,1391,3.6
3013,6044-1,Castle,Royal Knights,1995,King's Carriage,124.0,16.5,https://images.brickset.com/sets/images/6044-1.jpg,2508,915,3.6
3653,6842-1,Space,Classic,1981,Small Space Shuttle Craft,46.0,3.68,https://images.brickset.com/sets/images/6842-1.jpg,3893,538,3.6
3384,6528-1,Town,Vehicles,1989,Sand Storm Racer,39.0,3.75,https://images.brickset.com/sets/images/6528-1.jpg,2468,296,3.6
3277,6422-1,Town,Maintenance,1998,Telephone Repair,43.0,8.75,https://images.brickset.com/sets/images/6422-1.jpg,1381,372,3.6
3320,6467-1,Town,City,1999,Power Pitstop,66.0,10.0,https://images.brickset.com/sets/images/6467-1.jpg,901,299,3.6
3311,6457-1,Town,Space Port,1999,Astronaut Figure,18.0,2.0,https://images.brickset.com/sets/images/6457-1.jpg,1259,520,3.6
4351,8550-1,Bionicle,Bohrok Va,2002,Gahlok Va,26.0,2.99,https://images.brickset.com/sets/images/8550-1.jpg,1416,364,3.6
4094,8010-1,Star Wars,Technic,2002,Darth Vader,391.0,40.0,https://images.brickset.com/sets/images/8010-1.jpg,2378,1320,3.6
204,1252-1,Town,Shell,1999,Shell Tanker,107.0,7.0,https://images.brickset.com/sets/images/1252-1.jpg,1063,456,3.6
556,1736-1,Castle,Dragon Knights,1995,Wizard's Cart,17.0,1.36,https://images.brickset.com/sets/images/1736-1.jpg,1728,768,3.6
460,1624-1,Castle,Black Knights,1993,King's Archer,22.0,1.76,https://images.brickset.com/sets/images/1624-1.jpg,972,839,3.6
2348,4798-1,Alpha Team,Mission Deep Sea,2002,Evil Ogel Attack,21.0,3.0,https://images.brickset.com/sets/images/4798-1.jpg,771,291,3.6
2357,4817-1,Castle,Knights' Kingdom I,2000,Dungeon,38.0,5.0,https://images.brickset.com/sets/images/4817-1.jpg,1208,659,3.6
2307,4721-1,Harry Potter,Philosopher's Stone,2001,Hogwarts Classrooms,73.0,10.0,https://images.brickset.com/sets/images/4721-1.jpg,2263,1465,3.6
2154,4493-1,Star Wars,Mini Building Set,2004,Sith Infiltrator,55.0,7.0,https://images.brickset.com/sets/images/4493-1.jpg,2769,1187,3.6
1502,3401-1,Sports,Football,2000,Shoot 'n' Score,22.0,6.0,https://images.brickset.com/sets/images/3401-1.jpg,912,167,3.6
26703,76085-1,DC Comics Super Heroes,DC Extended Universe,2017,Battle of Atlantis,197.0,19.99,https://images.brickset.com/sets/images/76085-1.jpg,4203,718,3.6
24229,75100-1,Star Wars,The Force Awakens,2015,First Order Snowspeeder,444.0,39.99,https://images.brickset.com/sets/images/75100-1.jpg,7420,2144,3.6
