num_reviews,piece_count,play_star_rating,prod_desc,prod_id,review_difficulty,set_name,star_rating,theme_name,val_star_rating,country
8,78,4.6,Unleash your imagination with the LEGO® Blue Creativity Box!,10706,Very Easy,Blue Creativity Box,4.8,Classic,5,US
5,66,4.5,Unleash your imagination with the LEGO® Green Creativity Box!,10708,Easy,Green Creativity Box,4.8,Classic,4.5,US
4,55,4.3,Unleash your imagination with the LEGO® Red Creativity Box!,10707,Average,Red Creativity Box,4.5,Classic,4.3,US
3,60,2.7,Unleash your imagination with the LEGO® Orange Creativity Box!,10709,Easy,Orange Creativity Box,4.7,Classic,5,US
180,1,4,Everyone needs one!,630,Very Easy,Brick Separator,4.8,Classic,4.6,US
6,303,4.3,Build whatever your heart desires with LEGO® bricks in 20 different bright colors!,10694,Easy,LEGO® Creative Supplement Bright,4.5,Classic,4.3,US
24,1,3.9,Add another useful piece to your LEGO® collection with this Sand Baseplate!,10699,Very Easy,Sand Baseplate,3.6,Classic,2.9,US
11,728,3.2,Build and enjoy the delightful 3-in-1 Family Villa!,31069,Average,Modular Family Villa,3.4,Creator 3-in-1,3.2,US
14,670,4.2,Get behind the wheel of the awesome 3-in-1 Turbo Track Racer!,31070,Average,Turbo Track Racer,4.5,Creator 3-in-1,4.3,US
4,422,4,Enjoy awesome activities at the 3-in-1 Modular Skate House!,31081,Average,Modular Skate House,4.8,Creator 3-in-1,4.3,US
5,379,4,Enjoy seaside fun with the 3-in-1 Sunshine Surfer Van set!,31079,Easy,Sunshine Surfer Van,4.4,Creator 3-in-1,4.2,US
2,374,4,Hit the slopes with the 3-in-1 Modular Winter Vacation set!,31080,Easy,Modular Winter Vacation,3.5,Creator 3-in-1,4,US
12,285,4.3,Launch a satellite with the 3-in-1 Space Shuttle Explorer!,31066,Easy,Space Shuttle Explorer,4.2,Creator 3-in-1,4.4,US
10,386,3.2,Enjoy eco-friendly adventures with the 3-in-1 Modern Home!,31068,Average,Modular Modern Home,3.8,Creator 3-in-1,3.9,US
8,356,4,Play all day on a 3-in-1 Poolside Holiday!,31067,Average,Modular Poolside Holiday,4.6,Creator 3-in-1,4.9,US
9,205,4.5,Have fun with the cute 3-in-1 Robo Explorer!,31062,Average,Robo Explorer,4.8,Creator 3-in-1,4.3,US
