SetID,Number,Variant,Theme,Subtheme,Year,Name,Pieces,Price,ImageURL,OwnedBy,WantedBy,Rating
1868,4005,1,Boats,,1982,Tug Boat,66,10,https://images.brickset.com/sets/images/4005-1.jpg,1835,619,4.4
1892,4031,1,Boats,,1991,Firefighter,361,52,https://images.brickset.com/sets/images/4031-1.jpg,933,754,5
1710,3646,1,Fabuland,,1988,Catherine Cat in her Kitchen,53,,https://images.brickset.com/sets/images/3646-1.jpg,263,97,5
1481,3351,1,Town,City,2000,Three Minifig Pack - City #2,21,5,https://images.brickset.com/sets/images/3351-1.jpg,188,246,5
1438,3287,1,Bionicle,Warriors,2003,Takutanuva,399,,https://images.brickset.com/sets/images/3287-1.jpg,438,493,5
3130,6273,1,Pirates,,1991,Rock Island Refuge,381,66,https://images.brickset.com/sets/images/6273-1.jpg,2208,2017,4.4
3108,6251,1,Pirates,Accessories,1989,Pirate Minifigures,33,6.5,https://images.brickset.com/sets/images/6251-1.jpg,3291,890,4.4
3197,6347,1,Town,Monorail,1991,Monorail Accessory Track,54,35,https://images.brickset.com/sets/images/6347-1.jpg,559,914,5
3168,632,1,Basic,Supplementaries,1996,Wheels and Tyres,60,,https://images.brickset.com/sets/images/632-1.jpg,93,54,5
3169,6320,1,Town,Accessories,1997,"Road Plates, Junction",2,6,https://images.brickset.com/sets/images/6320-1.jpg,695,277,5
3150,6302,1,Town,Accessories,1982,Mini-Figure Set,25,,https://images.brickset.com/sets/images/6302-1.jpg,846,365,5
3158,6310,1,Town,Accessories,1986,"Road Plates, Junction",2,5.75,https://images.brickset.com/sets/images/6310-1.jpg,1770,235,5
3164,6316,1,Town,Accessories,1988,Flags and Fences,38,4,https://images.brickset.com/sets/images/6316-1.jpg,1034,318,5
3165,6317,1,Town,Accessories,1988,Trees and Flowers,24,4,https://images.brickset.com/sets/images/6317-1.jpg,1681,434,5
3024,6059,1,Castle,Black Knights,1990,Knight's Stronghold,224,22,https://images.brickset.com/sets/images/6059-1.jpg,2945,1110,4.4
3009,6040,1,Castle,Lion Knights,1984,Blacksmith Shop,92,9.25,https://images.brickset.com/sets/images/6040-1.jpg,2653,1158,4.4
3066,6103,1,Castle,Accessories,1988,Castle Mini Figures,42,6.75,https://images.brickset.com/sets/images/6103-1.jpg,2389,886,4.4
2816,5581,1,Model Team,,1993,Magic Flash,784,79,https://images.brickset.com/sets/images/5581-1.jpg,1015,755,5
2823,565,2,Basic,,1990,"Basic Building Set, 5+",364,,https://images.brickset.com/sets/images/565-2.jpg,342,70,5
2821,560,1,Town,Classic,1979,Town House,221,,https://images.brickset.com/sets/images/560-1.jpg,357,382,5
2805,5542,1,Model Team,,1998,Black Thunder,483,40,https://images.brickset.com/sets/images/5542-1.jpg,689,683,5
3304,6450,1,Town,Police,1986,Mobile Police Truck,84,,https://images.brickset.com/sets/images/6450-1.jpg,2948,437,5
3296,6440,1,Town,Fire,1991,Jetport Fire Squad,159,27.5,https://images.brickset.com/sets/images/6440-1.jpg,1457,763,5
3335,6484,1,Town,Rescue,1995,F1 Hauler,269,49.5,https://images.brickset.com/sets/images/6484-1.jpg,1086,773,5
3220,6368,1,Town,Flight,1985,Jet Airliner,136,12.75,https://images.brickset.com/sets/images/6368-1.jpg,3575,567,4.4
3282,6427,1,Town,Accessories,1999,Road Signs,43,6,https://images.brickset.com/sets/images/6427-1.jpg,830,619,5
3404,6545,1,Town,Police,1996,Search N' Rescue,286,26.5,https://images.brickset.com/sets/images/6545-1.jpg,1686,498,5
3410,6551,1,Town,Racing,1992,Checkered Flag 500,193,26.5,https://images.brickset.com/sets/images/6551-1.jpg,1221,464,5
3430,6569,1,Town,Bonus/Value Pack,2000,Polar Explorer,78,10,https://images.brickset.com/sets/images/6569-1.jpg,412,167,5
3431,6571,1,Town,Fire,1994,Flame Fighters,428,55,https://images.brickset.com/sets/images/6571-1.jpg,1632,643,5
